code,name,start,latestPrice,latestMarket,minPrice,maxPrice,upPercent,downPercent,downDays,upDays
300312,邦讯技术,2012-05-08,6.42,20.54,2.71,38.8683,101,-93,1255,5
300278,华昌达,2011-12-16,4.51,26.93,2.63,26.2758,67,-90,1105,5
300071,华谊嘉信,2010-04-21,2.29,15.37,1.6935,15.5659,38,-88,1036,5
600695,绿庭投资,1993-11-22,4.72,33.56,2.55,15.86,37,-70,241,5
300325,德威新材,2012-06-01,1.61,16.19,1.22,10.2742,35,-88,1289,5
600112,ST天成,1997-11-27,1.51,7.68,0.9,34.906,29,-97,1322,5
002776,柏堡龙,2015-06-26,3.75,20.17,2.94,18.0703,22,-84,1187,5
300201,海伦哲,2011-04-07,2.86,29.77,1.1574,10.856,19,-78,1192,5
688233,神工股份,2020-02-21,37.74,60.38,32.95,77.7423,19,-58,240,5
002325,洪涛股份,2009-12-22,2.39,29.87,2.01,20.295,17,-90,1321,5
