code,name,start,latestMarket,buyPrice,latestPrice,percent,minPrice,maxPrice,times,lastMax,highNumbers,averageInterval,maxInterval
000661,长春高新,1996-12-18,1708.64,448.91,422.18,-6,21.7931,511.15,14.0,2020-07-29,153,7,149
600519,贵州茅台,2001-08-27,25879.05,1998.0,2060.11,3,86.9251,2601.0,9.0,2020-12-31,150,8,185
600809,山西汾酒,1994-01-06,2708.53,375.29,310.78,-17,11.8579,456.0,21.0,2020-12-31,139,9,258
000858,五 粮 液,1998-04-27,10344.48,291.85,266.5,-9,12.4196,344.4,11.0,2020-12-31,131,9,290
603288,海天味业,2014-02-11,5395.33,200.54,166.5,-17,13.7028,214.98,7.0,2020-12-25,127,10,295
600276,恒瑞医药,2000-10-18,5347.71,111.46,100.3,-10,6.2968,115.01,6.0,2020-12-25,125,10,260
300015,爱尔眼科,2009-10-30,2588.31,74.89,62.8,-16,1.6466,91.1,10.0,2020-12-31,125,10,189
002475,立讯精密,2010-09-15,3344.85,56.12,47.63,-15,1.4869,62.11,11.0,2020-10-12,119,10,306
601012,隆基股份,2012-04-11,3750.64,92.2,99.44,8,1.0627,123.0,16.0,2020-12-25,118,10,335
601799,星宇股份,2011-02-01,519.83,200.5,188.24,-6,7.5896,217.57,6.0,2020-11-24,118,10,209
600132,重庆啤酒,1997-10-30,528.35,118.99,109.17,-8,10.3078,162.0,8.0,2020-12-14,118,10,182
601100,恒立液压,2011-10-28,1210.06,113.0,92.7,-18,3.96,132.43,15.0,2020-12-31,117,10,237
002812,恩捷股份,2016-09-14,959.11,141.78,108.12,-24,9.6423,165.45,27.0,2020-12-31,115,8,185
600529,山东药玻,2002-06-03,242.38,50.15,40.74,-19,3.5209,76.34,10.0,2020-08-03,114,10,222
603638,艾迪精密,2017-01-20,421.32,68.94,70.36,2,2.9142,89.89,24.0,2020-12-30,113,8,196
300601,康泰生物,2017-02-07,978.88,174.5,142.77,-18,3.1354,247.2891,85.0,2020-08-04,112,8,273
300347,泰格医药,2012-08-17,1229.94,161.61,140.97,-13,3.8972,191.51,12.0,2020-12-25,110,11,285
600309,万华化学,2000-01-05,3447.12,91.04,109.79,21,8.1842,143.98,7.0,2020-11-16,109,10,165
600872,中炬高新,1995-01-24,408.67,66.65,51.3,-23,3.722,82.85,5.0,2020-09-02,109,10,144
000568,泸州老窖,1994-05-09,3183.78,226.16,217.36,-4,12.8987,313.99,9.0,2020-12-31,108,11,309
002714,牧原股份,2014-01-28,4244.65,77.1,112.91,46,2.3626,126.9,16.0,2020-07-20,108,10,251
603338,浙江鼎力,2015-03-25,451.64,101.19,93.03,-8,6.0779,136.01,7.0,2020-10-14,107,11,223
000333,美的集团,2013-09-18,6302.08,98.44,89.5,-9,8.2299,107.11,5.0,2020-12-31,104,11,389
002271,东方雨虹,2008-09-10,1124.09,38.8,47.88,23,2.398,56.5,6.0,2020-09-03,104,11,452
600763,通策医疗,1996-10-30,761.03,276.52,237.35,-14,9.3809,388.0,6.0,2020-12-31,104,12,547
002821,凯莱英,2016-11-18,623.71,299.14,257.0,-14,21.6642,339.0,14.0,2020-12-31,103,10,197
300122,智飞生物,2010-09-28,2832.0,147.91,177.0,20,6.4432,212.6,11.0,2020-08-03,102,11,360
300012,华测检测,2009-10-30,423.11,27.37,25.41,-7,1.9699,31.35,5.0,2020-11-05,100,12,563
601888,中国中免,2009-10-15,5972.23,282.45,305.88,8,11.4902,387.86,10.0,2020-12-31,98,12,294
603899,晨光文具,2015-01-27,676.37,88.56,72.93,-18,8.8747,98.0,4.0,2020-12-31,98,12,428
600031,三一重工,2003-07-03,3487.79,34.98,41.11,18,4.354,47.93,6.0,2020-12-31,98,12,250
600486,扬农化工,2002-04-25,388.64,132.0,125.41,-5,8.4279,167.6,5.0,2020-12-31,96,13,214
600298,安琪酵母,2000-08-18,436.84,51.07,53.01,4,4.6412,70.1,6.0,2020-08-21,95,12,461
300124,汇川技术,2010-09-28,1511.29,93.3,87.88,-6,4.4013,114.15,4.0,2020-12-31,93,13,507
002607,中公教育,2011-08-10,2022.29,35.13,32.79,-7,1.615,43.1,52.0,2020-11-02,93,12,201
002511,中顺洁柔,2010-11-25,292.33,20.87,22.29,7,2.4693,26.88,6.0,2020-08-10,93,12,557
000596,古井贡酒,1996-09-27,1094.72,272.0,217.38,-20,15.2973,291.99,8.0,2020-12-28,93,13,162
300142,沃森生物,2010-11-12,671.4,38.56,43.5,13,3.7609,91.7633,8.0,2020-08-05,93,10,210
300595,欧普康视,2017-01-17,506.86,81.92,83.4,2,3.881,125.26,21.0,2020-12-31,90,11,542
600779,水井坊,1996-12-06,330.08,83.02,67.58,-19,6.0242,100.45,6.0,2020-12-31,89,14,320
600438,通威股份,2004-03-02,1676.37,38.44,37.24,-3,2.1655,54.09,17.0,2020-12-25,88,13,342
002507,涪陵榨菜,2010-11-23,337.21,42.3,42.72,1,2.7733,53.06,7.0,2020-09-02,88,11,249
002410,广联达,2010-05-25,770.75,78.74,65.0,-17,4.8264,91.35,5.0,2020-10-15,86,14,190
300661,圣邦股份,2017-06-06,396.15,263.8,253.23,-4,16.7972,390.79,23.0,2020-07-14,85,9,230
603939,益丰药房,2015-02-17,444.72,90.19,83.67,-7,9.725,108.36,4.0,2020-11-13,84,13,272
601318,中国平安,2007-03-01,15446.8,86.98,84.5,-3,13.7912,93.38,2.0,2020-12-01,84,14,293
600436,片仔癀,2003-06-16,1698.51,267.51,281.53,5,18.9369,393.96,6.0,2020-09-02,84,14,410
002142,宁波银行,2007-07-19,2409.21,35.34,40.1,13,4.2378,44.09,4.0,2020-12-02,84,14,276
300357,我武生物,2014-01-21,346.76,76.7,66.23,-14,5.375,93.4,5.0,2020-12-31,84,14,431
600426,华鲁恒升,2002-06-20,618.78,37.3,38.04,2,2.919,50.63,5.0,2020-12-28,83,15,525
